,video,average flow,Value Group
0,1_PortoRiverside,592400.84,Low Motion
1,2_Diner,2612104.29,High Motion
2,3_PlanEnergyBioLab,25529.99,Low Motion
3,4_Ocean,4044626.94,High Motion
4,5_Waterpark,1441524.54,Medium Motion
5,6_DroneFlight,1757970.81,High Motion
6,7_GazaFishermen,2359768.31,High Motion
7,8_Sofa,1150801.07,Medium Motion
8,9_MattSwift,652179.84,Low Motion
9,10_Cows,918795.94,Medium Motion
10,12_TeatroRegioTorino,1355543.98,Medium Motion
11,13_Fountain,1014473.25,Medium Motion
12,14_Warship,753484.32,Low Motion
13,15_Cockpit,1240198.46,Medium Motion
14,16_Turtle,179955.83,Low Motion
15,17_UnderwaterPark,1406735.12,Medium Motion
16,18_Bar,3618485.63,High Motion
17,19_Touvet,1349159.24,Medium Motion
